Date,Open,High,Low,Close,Adj Close,Volume,
08/14/2017,170.09,171.50,166.21,167.41,166.62,69772900,
08/07/2017,169.95,173.05,166.85,168.08,167.29,72620200,
07/31/2017,172.00,172.72,166.91,169.62,168.82,78869200,
07/24/2017,164.64,175.49,163.86,172.45,171.64,161455400,
07/17/2017,160.25,165.70,158.81,164.43,163.66,96122400,
07/10/2017,151.69,160.32,151.51,159.97,159.22,80086200,
07/03/2017,151.72,152.15,147.80,151.44,150.73,56764700,
06/26/2017,156.25,156.50,148.92,150.98,150.27,95769100,
06/19/2017,151.71,155.20,151.71,155.07,154.34,79842700,
06/12/2017,148.17,152.40,144.56,150.64,149.93,116339000,
06/05/2017,153.64,155.59,146.61,149.60,148.90,91421300,
05/29/2017,151.97,153.63,150.30,153.61,152.89,62634900,
05/22/2017,148.08,152.59,147.25,152.13,151.42,78154500,
05/15/2017,150.17,151.48,144.42,148.06,147.37,97135100,
05/08/2017,150.71,152.59,148.86,150.33,149.62,66802200,
05/01/2017,151.74,153.60,148.72,150.24,149.54,130245200,
04/24/2017,144.96,151.53,144.34,150.25,149.55,86497000,
04/17/2017,139.76,144.25,139.75,143.68,143.01,70241300,
04/10/2017,141.00,141.43,138.81,139.39,138.74,48255600,
04/03/2017,141.93,143.44,140.24,140.78,140.12,70592400,
03/27/2017,139.05,142.95,138.77,142.05,141.38,67889800,
03/20/2017,139.71,142.31,137.60,140.34,139.68,88737200,
03/13/2017,138.71,140.34,138.49,139.84,139.18,77450000,
03/06/2017,136.88,139.49,136.51,138.79,138.14,68309200,
02/27/2017,135.26,137.82,134.75,137.17,136.53,70131200,
02/20/2017,133.50,136.79,132.90,135.44,134.80,73167400,
02/13/2017,134.70,134.70,132.55,133.53,132.90,66225200,
02/06/2017,130.98,134.94,130.30,134.19,133.56,85578000,
01/30/2017,131.58,135.49,129.52,130.98,130.37,168057700,
01/23/2017,127.31,133.14,126.95,132.18,131.56,90047200,
01/16/2017,128.04,128.48,126.78,127.04,126.44,59733100,
01/09/2017,123.55,129.27,123.04,128.34,127.74,102099700,
01/02/2017,116.03,123.88,115.51,123.41,122.83,88332300,
12/26/2016,116.96,118.68,114.77,115.05,114.51,52757900,
12/19/2016,119.85,120.36,116.30,117.27,116.72,67518700,
12/12/2016,119.22,122.50,117.61,119.87,119.31,118950500,
12/05/2016,115.95,119.94,115.07,119.68,119.12,101153900,
11/28/2016,120.12,122.10,114.00,115.40,114.86,135528600,
11/21/2016,118.20,122.98,117.80,120.38,119.82,85835300,
11/14/2016,119.13,119.13,113.55,117.02,116.47,159933400,
11/07/2016,122.83,124.61,115.27,119.02,118.46,175072500,
10/31/2016,132.01,132.12,119.25,120.75,120.18,171699500,
10/24/2016,132.72,133.50,129.27,131.29,130.67,85178600,
10/17/2016,128.20,132.13,127.32,132.07,131.45,73864300,
10/10/2016,129.68,130.70,126.75,127.88,127.28,74234200,
